Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,Model,Age,Country
Maruti Swift VDI BSIV,Jaipur,8584.58,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,Maruti,Swift VDI BSIV,9,India
Land Rover Range Rover 2.2L Pure,Delhi,41389.92,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,Land,Rover Range Rover 2.2L Pure,10,UK
Land Rover Freelander 2 TD4 SE,Pune,26826.8,2012,85000,Diesel,Automatic,Second,0.0,2179,115.0,5.0,Land,Rover Freelander 2 TD4 SE,12,UK
Mitsubishi Pajero Sport 4X4,Delhi,22994.4,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,Mitsubishi,Pajero Sport 4X4,10,Japan
Honda Amaze S i-Dtech,Kochi,8277.98,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,Honda,Amaze S i-Dtech,8,Japan
Maruti Swift DDiS VDI,Jaipur,9182.43,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5.0,Maruti,Swift DDiS VDI,7,India
Renault Duster 85PS Diesel RxL Plus,Kochi,9718.97,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,Renault,Duster 85PS Diesel RxL Plus,10,France
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,42922.88,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,10,Germany
BMW 3 Series 320d,Kochi,28436.41,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5.0,BMW,3 Series 320d,10,Germany
Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,Maruti,S Cross DDiS 200 Alpha,9,India
Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,Audi,A6 2011-2015 35 TFSI Technology,9,Germany
Hyundai i20 1.2 Magna,Kolkata,2866.64,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,Hyundai,i20 1.2 Magna,14,South Korea
Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,Volkswagen,Vento Petrol Highline AT,14,Germany
Honda City Corporate Edition,Mumbai,6515.08,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,Honda,City Corporate Edition,12,Japan
Nissan Micra Diesel XV,Hyderabad,6515.08,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,Nissan,Micra Diesel XV,12,Japan
Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,Maruti,Alto K10 2010-2014 VXI,11,India
Honda WRV i-VTEC VX,Kochi,15176.3,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,Honda,WRV i-VTEC VX,6,Japan
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7.0,Toyota,Innova 2.5 V Diesel 7-seater,17,Japan
Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,Renault,Duster 110PS Diesel RxZ Pack,11,France
Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,Toyota,Corolla Altis G,12,Japan
Mahindra Ssangyong Rexton RX7,Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,Mahindra,Ssangyong Rexton RX7,11,India
Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,Audi,A6 2.7 TDI,14,Germany
Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,Volkswagen,Vento 1.6 Highline,10,Germany
Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5.0,Maruti,Wagon R LXI BSIII,15,India
Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,Maruti,Vitara Brezza ZDi Plus,6,India
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,Mahindra,KUV 100 mFALCON G80 K6 5str AW,7,India
Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,Mercedes-Benz,M-Class ML 350 CDI,11,Germany
Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,Volkswagen,Polo Diesel Trendline 1.2L,11,Germany
Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,Maruti,Alto LXi,16,India
Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,Tata,Nano LX SE,10,India
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,7,India
Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,Hyundai,i20 Magna Optional 1.2,10,South Korea
Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,Hyundai,Elantra 2.0 SX Option AT,10,South Korea
Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,Toyota,Corolla Altis G AT,8,Japan
Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,Hyundai,Elantra CRDi,16,South Korea
Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,Toyota,Innova Crysta 2.7 GX MT,12,Japan
Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,Hyundai,Xcent 1.1 CRDi S,10,South Korea
Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,Mahindra,Thar CRDe AC,12,India
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,Audi,A4 2.0 TDI 177 Bhp Premium Plus,9,Germany
Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,Maruti,Swift LDI,10,India
Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,Maruti,Swift Ldi BSIV,10,India
Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,Maruti,Swift VDI,11,India
Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,Hyundai,Grand i10 Sportz,9,South Korea
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,Volkswagen,Vento 2013-2015 1.6 Comfortline,9,Germany
Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,Renault,KWID RXT,7,France
Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,Hyundai,i10 Asta,14,South Korea
Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,Nissan,X-Trail SLX AT,14,Japan
Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,Maruti,Zen Estilo VXI BSIII,14,India
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,Toyota,Innova Crysta 2.4 GX MT 8S,7,Japan
Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,Ford,Figo Diesel Titanium,14,USA
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,9,Germany
Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,Mercedes-Benz,New C-Class 200 CDI Classic,13,Germany
Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,Tata,Indica V2 eLS,8,India
Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,Audi,A4 2.0 TDI Multitronic,12,Germany
Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,Honda,City ZX CVT,17,Japan
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,54680.68,2019,15369,Diesel,Automatic,First,0.0,1950,194.0,5.0,Mercedes-Benz,C-Class Progressive C 220d,5,Germany
Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,Maruti,Ertiga SHVS VDI,8,India
Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,Hyundai,Creta 1.4 E Plus Diesel,6,South Korea
Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5.0,Porsche,Cayenne 2009-2014 Turbo,16,Germany
Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,Mahindra,XUV500 W8 4WD,9,India
Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,Hyundai,i10 Sportz 1.2 AT,12,South Korea
Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,Nissan,Terrano XV D Pre,9,Japan
Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,Honda,Brio VX AT,8,Japan
Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,Audi,A6 2.0 TDI Design Edition,10,Germany
Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,Toyota,Innova 2.0 G1,18,Japan
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,Toyota,Innova 2.5 VX 7 STR BSIV,12,Japan
Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,Maruti,Swift VDI,12,India
Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,Tata,Zest Revotron 1.2T XE,7,India
Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,Honda,Amaze SX i-VTEC,8,Japan
Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,Ford,Figo Diesel ZXI,12,USA
Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,Maruti,Ritz VDi,11,India
Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,Honda,City i VTEC E,15,Japan
BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,BMW,5 Series 2003-2012 525d,13,Germany
Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,Hyundai,i10 Sportz 1.2,15,South Korea
Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,Hyundai,Grand i10 Sportz,8,South Korea
Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,Honda,Amaze SX i-VTEC,8,Japan
Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,Toyota,Fortuner 4x2 Manual,10,Japan
Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,Audi,A6 2011-2015 35 TDI Premium,6,Germany
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,Ford,Ecosport 1.5 DV5 MT Titanium Optional,11,USA
Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,Mahindra,XUV500 W8 2WD,10,India
Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,Honda,Amaze SX i-DTEC,9,Japan
Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,Volkswagen,Polo Diesel Highline 1.2L,11,Germany
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,Hyundai,Verna Transform SX VGT CRDi,14,South Korea
Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,Maruti,Wagon R VXI BS IV,8,India
Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,Volkswagen,Polo Petrol Highline 1.6L,14,Germany
Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,Hyundai,i20 1.4 CRDi Sportz,13,South Korea
Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,Hyundai,i20 Asta 1.2,10,South Korea
Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,Datsun,GO Plus T Petrol,7,Japan
Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,Audi,A4 3.0 TDI Quattro Premium,14,Germany
Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,Hyundai,i20 2015-2017 Asta,15,South Korea
Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14.0,796,35.0,5.0,Maruti,Omni 5 Str STD,14,India
Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,Toyota,Etios Liva 1.2 G,10,Japan
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,Jaguar,XF 3.0 Litre S Premium Luxury,13,UK
Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,Mahindra,XUV500 W8 2WD,12,India
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,Hyundai,Verna 1.6 SX CRDI (O) AT,10,South Korea
Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,Toyota,Innova Crysta 2.8 ZX AT,7,Japan
Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,Maruti,Eeco 5 Seater AC,7,India
Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,Tata,Nano Twist XT,10,India
BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,BMW,3 Series 320d Luxury Line,9,Germany
Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,Honda,Civic 2006-2010 1.8 V MT,14,Japan
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,Toyota,Innova 2.5 VX (Diesel) 7 Seater,10,Japan
Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,Volvo,V40 Cross Country D3,10,Sweden
Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,Nissan,Micra XV CVT,8,Japan
BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,BMW,5 Series 2010-2013 525i,15,Germany
Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,Maruti,Vitara Brezza VDi,8,India
Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,Mercedes-Benz,B Class B200 CDI,10,Germany
Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,Hyundai,Verna CRDi 1.6 SX Option,6,South Korea
Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,Maruti,Wagon R LXI BS IV,13,India
Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,Tata,Nano XTA,7,India
Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,Mahindra,Scorpio VLX,10,India
Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,Mercedes-Benz,New C-Class 200 K AT,15,Germany
Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,Maruti,Wagon R LXI CNG,11,India
Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,Honda,CR-V 2.4 MT,17,Japan
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,Volkswagen,Vento 1.5 TDI Comfortline AT,9,Germany
Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,Maruti,Ciaz VXi Plus,7,India
Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,Mahindra,XUV500 AT W10 FWD,8,India
Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,Maruti,Ritz VXI ABS,8,India
Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,Maruti,Alto K10 VXI,10,India
Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,Mercedes-Benz,SLC 43 AMG,7,Germany
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,Hyundai,Verna VTVT 1.6 AT SX Plus,5,South Korea
Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,Maruti,Alto LXi BSIII,14,India
BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,BMW,1 Series 118d Base,9,Germany
Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,Honda,Jazz 1.2 V CVT i VTEC,9,Japan
Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,Honda,Civic 2006-2010 1.8 V MT,12,Japan
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,10,Germany
Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,Honda,Amaze SX i-DTEC,10,Japan
Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,Maruti,Swift VVT VXI,8,India
Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,Toyota,Fortuner 3.0 Diesel,12,Japan
Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,Chevrolet,Beat LT Option,10,USA
Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,Skoda,Rapid 1.5 TDI Elegance,11,Czech Republic
Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,Maruti,Ciaz 1.4 Alpha,6,India
Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,Audi,RS5 Coupe,11,Germany
BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,BMW,3 Series Luxury Line,10,Germany
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,Audi,A4 2.0 TDI 177 Bhp Premium Plus,9,Germany
Maruti Swift VDI,Chennai,9581.0,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,Maruti,Swift VDI,8,India
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,Mercedes-Benz,S Class 2005 2013 S 500,14,Germany
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,8,Czech Republic
Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,Skoda,Superb Elegance 2.0 TDI CR AT,12,Czech Republic
Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,Hyundai,EON Magna Plus,5,South Korea
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,Volkswagen,Polo Diesel Trendline 1.2L,12,Germany
Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,Datsun,GO NXT,8,Japan
Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,Honda,Brio S MT,11,Japan
Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,Mercedes-Benz,B Class B180,11,Germany
Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,Honda,City i DTEC V,9,Japan
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,Toyota,Innova 2.5 G (Diesel) 7 Seater,8,Japan
Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,Maruti,Swift VXI Optional,7,India
Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,Mahindra,XUV500 W8 2WD,12,India
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6775.68,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,Ford,Ecosport 1.5 DV5 MT Ambiente,10,USA
Toyota Fortuner 4x2 Manual,Mumbai,20694.96,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,Toyota,Fortuner 4x2 Manual,12,Japan
